etm_sector,etm_subsector,type,ghg,unit,value
Energy,Electricity and heat production,energetic,other_ghg,kg,15.0
Energy,Electricity and heat production,energetic,co2,kg,18.0
Industry,Refineries,energetic,other_ghg,kg,
Industry,Refineries,energetic,co2,kg,
Energy,Other fuels production,energetic,other_ghg,kg,
Energy,Other fuels production,energetic,co2,kg,
Industry,,energetic,other_ghg,kg,
Industry,,energetic,co2,kg,
National transport,,energetic,other_ghg,kg,
National transport,,energetic,co2,kg,
Other,Other transportation,energetic,co2,kg,
Other,Other transportation,energetic,other_ghg,kg,
Buildings,,energetic,other_ghg,kg,
Buildings,,energetic,co2,kg,
Households,,energetic,other_ghg,kg,7.0
Households,,energetic,co2,kg,12.0
Agriculture,,energetic,other_ghg,kg,
Agriculture,,energetic,co2,kg,
Other,,energetic,other_ghg,kg,
Other,,energetic,co2,kg,
Energy,Electricity and heat production,non_energetic,co2,kg,18.0
Energy,Fugitive emissions,non_energetic,other_ghg,kg,
Energy,Fugitive emissions,non_energetic,co2,kg,
Energy,CCUS,non_energetic,co2,kg,
Industry,,non_energetic,other_ghg,kg,
Industry,,non_energetic,co2,kg,
Energy,Methanol production,non_energetic,other_ghg,kg,
Energy,Methanol production,non_energetic,co2,kg,
Energy,Hydrogen production,non_energetic,other_ghg,kg,
Energy,Hydrogen production,non_energetic,co2,kg,
Agriculture,,non_energetic,co2,kg,
Agriculture,,non_energetic,other_ghg,kg,
LULUCF,,non_energetic,co2,kg,
LULUCF,,non_energetic,other_ghg,kg,
Waste,,non_energetic,co2,kg,
Waste,,non_energetic,other_ghg,kg,
Other,Indirect emissions,non_energetic,co2,kg,
International transport,,energetic,co2,kg,
International transport,,energetic,other_ghg,kg,
